Latitude,Longitude,Altitude
45.7804564444444,10.2631081666667,656.492
45.7805025,10.263051,656.474
45.7805078888889,10.2629528333333,656.434
45.7805101944444,10.2628498333333,656.431
45.7805135,10.2627495833333,656.429
45.780552,10.2626818055556,656.392
45.7806149444444,10.2626846666667,656.448
45.7806377222222,10.2627573055556,656.469
45.78063825,10.2628596944444,656.457
45.7806374166667,10.2629619722222,656.44
45.7806488611111,10.2630520277778,656.515
45.7807030833333,10.2630741111111,656.452
45.78075575,10.2630270555556,656.449
45.78076325,10.2629310833333,656.444
45.7807651388889,10.2628294166667,656.435
45.7807695277778,10.2627277777778,656.439
45.7808111666667,10.2626661111111,656.403
45.7808745,10.2626743055556,656.409
45.7808932777778,10.2627505277778,656.436
45.7808936111111,10.2628519444444,656.434
45.7808963055556,10.2629915,656.433
45.7809146666667,10.2630315555556,656.426
45.7809758055556,10.2630346388889,656.436
45.7810153611111,10.2629684166667,656.451
45.7810194166667,10.26286875,656.439
45.7810225555556,10.262767,656.441
45.7810375,10.2626743055556,656.457
45.7810971666667,10.2626457777778,656.423
45.78114375,10.2626864722222,656.437
45.7811484166667,10.2627794722222,656.429
45.7811485,10.2628823333333,656.41
45.7811566666667,10.2629768333333,656.459
45.7812080555556,10.2630033055556,656.457
45.7812642777778,10.2629611111111,656.425
45.7812741666667,10.2628664722222,656.434
45.7812769722222,10.2627641666667,656.435
45.7812873055556,10.2626691111111,656.452
45.7813447222222,10.2626298333333,656.433
45.7813971666667,10.2626609444444,656.441
45.7814038888889,10.2627523055556,656.414
45.7814031388889,10.2628532777778,656.408
45.78141525,10.26294675,656.465
45.7814703611111,10.2629665277778,656.426
45.7815221388889,10.2629203333333,656.468
45.7815301388889,10.2628221944444,656.455
45.7815319166667,10.2627203333333,656.443
45.781553,10.2626321944444,656.433
45.78161475,10.2626136944444,656.448
45.7816546944444,10.262663,656.41
45.7816581944444,10.2627601944444,656.419
45.7816591666667,10.2628608888889,656.402
45.7816904444444,10.26292825,656.392
45.7817545,10.2629208888889,656.475
45.7817835833333,10.2628445555556,656.478
45.7817861111111,10.2627436666667,656.421
45.7817936666667,10.2626447777778,656.416
45.7818450555556,10.2625965555556,656.416
45.7819020833333,10.2626168333333,656.432
45.7819131388889,10.2627053333333,656.418
45.78191375,10.2628073611111,656.441
45.7819320555556,10.2628915,656.458
45.7819921388889,10.26290425,656.446
45.7820358888889,10.2628468888889,656.439
45.7820405833333,10.2627483055556,656.394
45.78204575,10.2626449444444,656.372
45.782087,10.2625835,656.429
45.7821500555556,10.2625918611111,656.463
45.7821688333333,10.2626683055556,656.43
45.7821693333333,10.2627718611111,656.448
45.7821821666667,10.2628605277778,656.404
45.7822404166667,10.2628789166667,656.418
45.7822897777778,10.2628313055556,656.441
45.7822961666667,10.2627351666667,656.447
45.7823002222222,10.2626323333333,656.436
45.7823413888889,10.2625640833333,656.431
45.7824038611111,10.2625643055556,656.421
45.7824245277778,10.2626364444444,656.43
45.7824244166667,10.2627379722222,656.39
45.7824342222222,10.2628315,656.389
45.7824881111111,10.2628569722222,656.445
45.7825418333333,10.2628157777778,656.463
45.7825517777778,10.2627180277778,656.453
45.782554,10.2626158888889,656.457
45.7825820833333,10.2625316388889,656.433
45.7826471666667,10.2625151944444,656.443
45.7826787222222,10.2625711944444,656.432
45.7826801944444,10.26267075,656.41
45.7826823888889,10.2627705555556,656.455
45.7827184722222,10.2628297777778,656.448
45.7827814166667,10.2628175833333,656.446
45.7828050555556,10.2627376388889,656.453
45.7828076111111,10.2626353611111,656.44
45.7828132222222,10.2625354444444,656.426
45.7828625555556,10.2624759444444,656.407
45.7829215277778,10.2624863055556,656.434
45.7829356111111,10.2625681111111,656.453
45.7829351944444,10.2626693888889,656.451
45.7829406666667,10.2627676111111,656.472
45.7829851388889,10.2628079444444,656.461
45.7830451666667,10.26278125,656.415
45.7830602222222,10.2626911111111,656.414
45.78306225,10.2625894722222,656.454
45.7830691111111,10.2624876111111,656.453
